typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,Column1
C,M,20031101,2003,11,200311,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,12100,FALSE,8,kg,12100,FALSE,12100,FALSE,0,FALSE,47730.141,0,47730.141,0,FALSE,TRUE,
C,M,20041001,2004,10,200410,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,34500,FALSE,8,kg,34500,FALSE,34500,FALSE,0,FALSE,171127.937,,171127.937,0,FALSE,TRUE,
C,M,20040901,2004,9,200409,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,46965,FALSE,8,kg,46965,FALSE,46965,FALSE,0,FALSE,230822.771,,230822.771,0,FALSE,TRUE,
C,M,20040901,2004,9,200409,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,46965,FALSE,8,kg,46965,FALSE,46965,FALSE,0,FALSE,230822.771,,230822.771,0,FALSE,TRUE,
C,M,20040201,2004,2,200402,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,31550,FALSE,8,kg,31550,FALSE,31550,FALSE,0,FALSE,166212.81,0,166212.81,0,FALSE,TRUE,
C,M,20040201,2004,2,200402,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,31550,FALSE,8,kg,31550,FALSE,31550,FALSE,0,FALSE,166212.81,0,166212.81,0,FALSE,TRUE,
C,M,20040101,2004,1,200401,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,17070,FALSE,8,kg,17070,FALSE,17070,FALSE,0,FALSE,62771.923,0,62771.923,0,FALSE,TRUE,
C,M,20040101,2004,1,200401,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,17070,FALSE,8,kg,17070,FALSE,17070,FALSE,0,FALSE,62771.923,0,62771.923,0,FALSE,TRUE,
C,M,20040801,2004,8,200408,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,70690,FALSE,8,kg,70690,FALSE,70690,FALSE,0,FALSE,370600.888,0,370600.888,0,FALSE,TRUE,
C,M,20040801,2004,8,200408,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,70690,FALSE,8,kg,70690,FALSE,70690,FALSE,0,FALSE,370600.888,0,370600.888,0,FALSE,TRUE,
C,M,20040701,2004,7,200407,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,30375,FALSE,8,kg,30375,FALSE,30375,FALSE,0,FALSE,135733.775,0,135733.775,0,FALSE,TRUE,
C,M,20040701,2004,7,200407,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,30375,FALSE,8,kg,30375,FALSE,30375,FALSE,0,FALSE,135733.775,0,135733.775,0,FALSE,TRUE,
C,M,20040601,2004,6,200406,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,29920,FALSE,8,kg,29920,FALSE,29920,FALSE,0,FALSE,164832.725,,164832.725,0,FALSE,TRUE,
C,M,20040601,2004,6,200406,724,ESP,Spain,M,Import,0,W00,World,144,LKA,Sri Lanka,H2,HS,TRUE,906,Cinnamon and cinnamon-tree flowers,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,29920,FALSE,8,kg,29920,FALSE,29920,FALSE,0,FALSE,164832.725,,164832.725,0,FALSE,TRUE,
